territoire,ligne,nom_ligne,arret_id,code,arret,latitude,longitude
TàD 4305,TàD 4305,TàD 4305,IDFM:492714,,Aubin,48.50996381549992,2.3556950113064423
TàD 4305,TàD 4305,TàD 4305,IDFM:492713,,Aubin,48.509881166929404,2.355384624050566
TàD Roissy Sud,TàD,TàD Roissy Sud,IDFM:19301,,Auguste Renoir,48.95228782851666,2.4908141288036707
TàD Bassin Chellois,TàD,TàD Bassin Chellois,IDFM:16841,,Austerlitz,48.87818384887531,2.575542284267031
TàD Dimanche,TàD,TàD Dimanche,IDFM:16841,,Austerlitz,48.87818384887531,2.575542284267031
TàD Desserte Hôpital,TàD,TàD Desserte Hôpital,IDFM:16841,,Austerlitz,48.87818384887531,2.575542284267031
TàD Roissy Sarcelles,TàD,TàD Roissy Sarcelles,IDFM:38447,,Avenue Bocquet,49.010615905141314,2.4832435513990645
TàD Roissy Goussainville,TàD,TàD Roissy Goussainville,IDFM:38447,,Avenue Bocquet,49.010615905141314,2.4832435513990645
TàD Roissy Sarcelles,TàD,TàD Roissy Sarcelles,IDFM:38421,,Avenue Bocquet,49.01001820956549,2.482265300970602
TàD Roissy Goussainville,TàD,TàD Roissy Goussainville,IDFM:38421,,Avenue Bocquet,49.01001820956549,2.482265300970602
TàD Roissy Saint-Pathus,TàD,TàD Roissy Saint-Pathus,IDFM:415821,,Avenue de la Gare,49.033876909242245,2.6959817519926563
TàD Goêle,TàD,TàD Goêle,IDFM:415821,,Avenue de la Gare,49.033876909242245,2.6959817519926563
TàD Roissy Saint-Pathus,TàD,TàD Roissy Saint-Pathus,IDFM:38357,,Avenue de la Gare,49.03386843669796,2.6961869338748277
TàD Goêle,TàD,TàD Goêle,IDFM:38357,,Avenue de la Gare,49.03386843669796,2.6961869338748277
TàD ZI Poincy,TàD,TàD ZI Poincy,IDFM:478247,,Avenue de Meaux,48.966579829203724,2.92105857873833
TàD ZI Poincy,TàD,TàD ZI Poincy,IDFM:478246,,Avenue de Meaux,48.96667876243805,2.9210857439480566
TàD 2429,TàD 2429,TàD 2429,IDFM:477709,,Avenue de Rebais,48.786308861738014,3.3022081275124497
TàD 2429,TàD 2429,TàD 2429,IDFM:8592,,Avenue de Rebais,48.786281570767876,3.302330464718219
TàD Roissy Sud,TàD,TàD Roissy Sud,IDFM:423529,,Avenue de Savigny,48.94481093000857,2.518123537092626
TàD 2429,TàD 2429,TàD 2429,IDFM:6277,,Avenue des Etats-Unis,48.78082099029105,3.299277594650755
TàD 2429,TàD 2429,TàD 2429,IDFM:6276,,Avenue des Etats-Unis,48.780965060700964,3.299210374923565
TàD Gretz-Tournan,TàD,TàD Gretz-Tournan,IDFM:495842,,Avenue des Fresnes,48.73743841161402,2.7212453891452313
